Length,Width,Circularity,Ratio ,Species
17.27,6.48,0.68,2.67,L_sp1
17.17,6.78,0.65,2.53,L_sp1
21.24,6.9,0.61,3.08,L_sp1
20.53,7.19,0.6,2.86,L_sp1
19.12,7.29,0.65,2.62,L_sp1
21.54,7.52,0.64,2.86,L_sp1
20.5,7.53,0.65,2.72,L_sp1
20.93,7.74,0.66,2.7,L_sp1
22.2,7.84,0.64,2.83,L_sp1
16.14,7.92,0.78,2.04,L_sp1
24.9,8.07,0.61,3.09,L_sp1
20.71,8.28,0.69,2.5,L_sp1
21.39,8.49,0.68,2.52,L_sp1
19.43,8.75,0.76,2.22,L_sp1
26.89,8.77,0.64,3.07,L_sp1
26.34,8.81,0.64,2.99,L_sp1
21.8,9.18,0.75,2.37,L_sp1
24.79,9.64,0.71,2.57,L_sp1
13.8,5.26,0.67,2.62,L_sp2
10.02,4.86,0.7,2.06,L_sp2
11.46,3.92,0.59,2.92,L_sp2
8.43,3.28,0.68,2.57,L_sp2
6.9,2.78,0.68,2.48,L_sp2
13.22,4.02,0.53,3.29,L_sp2
14.03,4.24,0.6,3.31,L_sp2
15.52,3.85,0.47,4.03,L_sp2
14.34,3.34,0.46,4.29,L_sp2
11.72,3.86,0.65,3.04,L_sp2
11.67,3.87,0.56,3.02,L_sp2
11.67,3.82,0.62,3.05,L_sp2
14.86,4.22,0.56,3.52,L_sp2
13.94,4.31,0.62,3.23,L_sp2
13.76,4.35,0.55,3.16,L_sp2
14.8,4.51,0.55,3.28,L_sp2
17.4,5.1,0.54,3.41,L_sp2
12.26,3.92,0.58,3.13,L_sp2
12.27,3.63,0.56,3.38,L_sp2
10.74,4.48,0.70,2.40,L_sp3
11.80,5.27,0.74,2.24,L_sp3
11.04,4.68,0.70,2.36,L_sp3
8.68,3.93,0.74,2.21,L_sp3
8.11,3.27,0.71,2.48,L_sp3
10.73,4.49,0.72,2.39,L_sp3
8.94,3.73,0.72,2.40,L_sp3
7.68,3.54,0.74,2.17,L_sp3
9.28,4.07,0.74,2.28,L_sp3
10.93,4.63,0.73,2.36,L_sp3
10.97,4.70,0.74,2.33,L_sp3
7.47,2.56,0.64,2.92,L_sp3
12.59,5.39,0.74,2.34,L_sp3
8.76,4.16,0.75,2.11,L_sp3
8.95,2.61,0.53,3.43,L_sp3
5.62,2.70,0.73,2.08,L_sp3
8.56,2.64,0.59,3.24,L_sp3
7.40,3.03,0.71,2.44,L_sp3